title,part,min len,max len,incl num,incl punct,num pos,medium,hidden list,hidden type,output type,training iters,train set size,test set size,train mins
SvsM1,small,3,7,False,False,12,False,[50],LSTM,Tanh,50,4136,844,35.97781595
Epoch,Train Error,Test Error,Validation Error
2,0.273210831721,0.28672985782,0.289808917197
4,0.250483558994,0.287914691943,0.284501061571
6,0.467601547389,0.46682464455,0.472399150743
8,0.278529980658,0.306872037915,0.294055201699
10,0.211073500967,0.240521327014,0.240976645435
12,0.335106382979,0.362559241706,0.355626326964
14,0.196324951644,0.222748815166,0.220806794055
16,0.304400386847,0.328199052133,0.329087048832
18,0.202127659574,0.242890995261,0.240976645435
20,0.183510638298,0.21682464455,0.223991507431
22,0.183994197292,0.218009478673,0.19957537155
24,0.194632495164,0.232227488152,0.232484076433
26,0.237427466151,0.264218009479,0.273885350318
28,0.246856866538,0.28672985782,0.282377919321
30,0.268375241779,0.312796208531,0.301486199575
32,0.190280464217,0.227488151659,0.228237791932
34,0.267649903288,0.302132701422,0.30042462845
36,0.178433268859,0.21327014218,0.21974522293
38,0.196808510638,0.234597156398,0.232484076433
40,0.161750483559,0.21682464455,0.190021231423
42,0.187862669246,0.221563981043,0.235668789809
44,0.272727272727,0.292654028436,0.302547770701
46,0.200676982592,0.231042654028,0.244161358811
48,0.17335589942,0.221563981043,0.225053078556
50,0.160058027079,0.210900473934,0.214437367304
Final Validation Error,0.214437367304
